"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/2024","163.12","162.41","163.17","162.00","","0.40%"
"10/18/2024","162.47","162.70","162.87","162.18","","-0.13%"
"10/17/2024","162.68","162.54","162.78","161.85","","0.11%"
"10/16/2024","162.50","162.50","162.90","162.11","","0.02%"
"10/15/2024","162.47","163.38","163.45","162.34","","-0.54%"
"10/14/2024","163.36","163.01","163.66","162.89","","0.16%"
"10/11/2024","163.10","162.47","163.41","162.30","","0.40%"
"10/10/2024","162.45","163.34","163.63","162.17","","-0.53%"
"10/09/2024","163.31","162.73","163.49","162.38","","0.37%"
"10/08/2024","162.71","162.65","162.84","161.90","","0.06%"
"10/07/2024","162.61","163.24","163.59","162.30","","-0.37%"
"10/04/2024","163.22","162.07","163.41","160.73","","0.73%"
"10/03/2024","162.04","161.79","162.51","161.36","","0.17%"
"10/02/2024","161.77","158.89","161.89","158.70","","1.81%"
"10/01/2024","158.89","159.93","160.94","158.36","","-0.64%"
"09/30/2024","159.91","158.68","160.16","158.10","","0.74%"
"09/27/2024","158.73","161.86","163.51","158.57","","-1.92%"
"09/26/2024","161.83","161.16","161.94","160.74","","0.43%"
"09/25/2024","161.14","160.14","161.69","159.87","","0.64%"
"09/24/2024","160.11","159.60","161.13","159.22","","0.34%"
"09/23/2024","159.57","160.67","161.20","159.04","","-0.66%"
"09/20/2024","160.63","159.19","161.19","158.40","","0.91%"
"09/19/2024","159.18","158.20","159.99","157.78","","0.63%"
"09/18/2024","158.18","158.27","158.75","157.04","","-0.04%"
"09/17/2024","158.25","156.55","158.34","156.04","","1.11%"
"09/16/2024","156.52","156.01","156.72","155.15","","0.35%"
"09/13/2024","155.97","157.07","157.12","155.60","","-0.67%"
"09/12/2024","157.02","156.76","157.53","156.52","","0.18%"
"09/11/2024","156.74","157.00","157.02","155.46","","-0.13%"
"09/10/2024","156.94","158.01","158.65","156.79","","-0.65%"
"09/09/2024","157.97","157.68","158.75","157.40","","0.18%"
"09/06/2024","157.68","159.39","159.47","157.45","","-1.05%"
"09/05/2024","159.36","159.29","159.82","158.55","","0.05%"
"09/04/2024","159.28","160.66","160.91","159.25","","-0.85%"
"09/03/2024","160.64","162.63","162.82","160.50","","-1.22%"
"09/02/2024","162.63","161.49","162.90","161.01","","0.72%"
"08/30/2024","161.46","160.61","161.64","160.19","","0.54%"
"08/29/2024","160.59","160.78","161.29","160.02","","-0.11%"
"08/28/2024","160.77","161.03","161.39","160.43","","-0.14%"
"08/27/2024","160.99","161.31","162.21","160.88","","-0.19%"
"08/26/2024","161.30","161.54","161.60","160.50","","-0.15%"
"08/23/2024","161.55","162.55","162.74","161.20","","-0.60%"
"08/22/2024","162.52","162.00","162.94","161.45","","0.35%"
"08/21/2024","161.95","161.68","162.80","161.33","","0.18%"
"08/20/2024","161.66","162.51","163.23","161.52","","-0.50%"
"08/19/2024","162.47","162.72","163.21","160.41","","-0.17%"
"08/16/2024","162.75","163.79","163.89","162.30","","-0.61%"
"08/15/2024","163.75","162.25","163.91","161.81","","0.94%"
"08/14/2024","162.22","161.42","162.60","160.58","","0.52%"
"08/13/2024","161.38","160.91","161.82","160.64","","0.30%"
"08/12/2024","160.89","160.05","161.98","160.05","","0.53%"
"08/09/2024","160.04","160.82","161.39","159.81","","-0.47%"
"08/08/2024","160.80","160.22","160.92","158.95","","0.37%"
"08/07/2024","160.20","157.77","161.45","157.70","","1.57%"
"08/06/2024","157.72","157.94","160.25","157.29","","-0.11%"
"08/05/2024","157.89","160.07","160.11","154.40","","-1.24%"
"08/02/2024","159.88","161.20","161.95","159.68","","-0.80%"
"08/01/2024","161.17","162.38","162.92","160.88","","-0.73%"
"07/31/2024","162.35","165.23","166.40","162.01","","-1.73%"
"07/30/2024","165.21","166.67","167.98","165.08","","-0.85%"
"07/29/2024","166.62","167.01","167.54","166.22","","-0.16%"
"07/26/2024","166.88","166.97","168.03","166.35","","-0.02%"
"07/25/2024","166.92","166.83","167.63","164.82","","0.08%"
"07/24/2024","166.79","168.87","169.23","166.14","","-1.20%"
"07/23/2024","168.82","171.03","171.12","168.82","","-1.26%"
"07/22/2024","170.97","171.38","171.68","170.07","","-0.19%"
"07/19/2024","171.30","171.48","171.91","170.91","","-0.08%"
"07/18/2024","171.44","170.83","171.60","169.98","","0.38%"
"07/17/2024","170.79","172.59","172.86","170.69","","-1.01%"
"07/16/2024","172.54","172.17","172.96","172.13","","0.23%"
"07/15/2024","172.14","172.20","172.58","171.57","","-0.03%"
"07/12/2024","172.19","172.59","173.46","171.45","","-0.22%"
"07/11/2024","172.57","175.07","175.95","171.54","","-1.44%"
"07/10/2024","175.09","174.48","175.19","174.38","","0.39%"
"07/09/2024","174.41","174.08","174.62","174.00","","0.22%"
"07/08/2024","174.03","173.73","174.66","173.51","","-0.07%"
"07/05/2024","174.16","174.36","174.54","173.70","","-0.10%"
"07/04/2024","174.33","174.44","174.46","173.79","","-0.02%"
"07/03/2024","174.37","173.50","174.72","173.42","","0.53%"
"07/02/2024","173.45","173.43","173.65","173.07","","0.05%"
"07/01/2024","173.37","172.39","173.85","172.39","","0.62%"
"06/28/2024","172.30","172.06","172.51","171.43","","0.16%"
"06/27/2024","172.02","171.75","172.22","171.38","","0.18%"
"06/26/2024","171.71","171.10","171.86","170.84","","0.37%"
"06/25/2024","171.08","171.32","171.42","170.69","","-0.11%"
"06/24/2024","171.27","170.91","171.53","170.34","","0.26%"
"06/21/2024","170.83","170.10","170.95","169.31","","0.48%"
"06/20/2024","170.02","169.88","170.37","169.61","","0.11%"
"06/19/2024","169.83","169.56","169.90","169.11","","0.19%"
"06/18/2024","169.50","169.32","169.95","168.96","","0.12%"
"06/17/2024","169.29","168.43","169.37","167.94","","0.53%"
"06/14/2024","168.39","168.61","169.83","167.52","","-0.10%"
"06/13/2024","168.56","169.40","170.17","168.26","","-0.47%"
"06/12/2024","169.36","168.74","169.93","168.60","","0.40%"
"06/11/2024","168.68","169.06","169.50","168.28","","-0.19%"
"06/10/2024","169.00","169.21","169.24","168.29","","-0.14%"
"06/07/2024","169.24","169.46","170.02","168.93","","-0.11%"
"06/06/2024","169.42","169.68","170.31","169.21","","-0.12%"
"06/05/2024","169.63","168.51","170.05","168.39","","0.69%"
"06/04/2024","168.47","170.22","170.75","168.00","","-1.00%"
"06/03/2024","170.18","170.71","170.92","169.70","","-0.21%"
"05/31/2024","170.54","169.88","170.78","169.43","","0.42%"
"05/30/2024","169.83","170.28","170.36","169.05","","-0.25%"
"05/29/2024","170.25","170.63","170.82","170.15","","-0.18%"
"05/28/2024","170.56","170.35","170.83","170.23","","0.14%"
"05/27/2024","170.32","170.33","170.52","169.96","","0.04%"
"05/24/2024","170.26","169.72","170.52","169.62","","0.34%"
"05/23/2024","169.69","169.69","170.46","169.27","","0.03%"
"05/22/2024","169.64","169.51","169.96","169.37","","0.11%"
"05/21/2024","169.45","169.66","169.98","169.20","","-0.09%"
"05/20/2024","169.60","169.18","169.82","169.05","","0.24%"
"05/17/2024","169.19","168.87","169.39","168.77","","0.22%"
"05/16/2024","168.82","168.57","169.00","167.31","","0.17%"
"05/15/2024","168.53","169.26","169.42","168.06","","-0.41%"
"05/14/2024","169.22","168.52","169.46","168.46","","0.42%"
